kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan
AP021,Mi basah,88,0.6,3.3,14,0.1,14,13,6.8,63,13.5,0.06,0.4,0,0,0,0,0,Olahan,Serealia
AP022,Mi kering,339,10,1.7,6.3,0.4,31,143,3.9,760,83,0.29,1.9,0,0,0.08,2.2,0,Olahan,Serealia
AP023,Misoa,345,8.5,2.2,78,0.5,52,120,8.7,3064,44,0.08,0,0,0,0.02,0.2,0,Olahan,Serealia
AP024,Roti putih,248,8,1.2,50,9.1,10,95,1.5,530,91,0.15,0.9,0,0.1,0.29,2.4,0,Olahan,Serealia
AP025,Tepung terigu,333,9,1,77.2,0.3,22,150,6.3,2,0,0.02,2.8,0,0.35,0.47,1,0,Olahan,Serealia
AP026,Amparan tatak,191,1.3,5.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP027,"Apang kukus, kue",202,3,0.3,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP028,"Apem, kue",148,2,0.5,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP029,Biskuit,458,6.9,14.4,75.1,2.1,62,87,2.7,241,20.3,0.16,0.6,0,0.09,0.15,1.4,0,Olahan,Serealia
AP030,"Bakpia, kue",272,8.7,6.7,44.1,0.9,194,117,4.5,0,0,0,0,0,0.31,1,2.9,0,Olahan,Serealia
AP031,Bakwan,280,8.2,10.2,39,3.4,204,79,7,0,0,0,0,0,0.08,0,0,0,Olahan,Serealia
AP032,Bantal,190,3.3,0.3,43.5,3.4,9,0,0.4,164,84,0.2,0.9,0,0.27,0.02,3.6,0,Olahan,Serealia
AP033,Baruasa,417,6.5,8.2,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP034,Batar daan,107,2.2,2.2,19.6,0,20,30,0.6,200,90,0.1,0,0,0.18,0.02,0,0,Olahan,Serealia
AP035,Bika ambon,199,2.1,1.5,44.4,0.3,45,28,1.8,0,0,0,0,0,0.1,0,0,0,Olahan,Serealia
AP036,Bingka,273,5.3,10.6,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP037,Bobengka,225,5.3,2.6,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP038,Bolu peca,197,3.3,4.6,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP039,Brem,249,3.4,0.4,58,0,198,86,2,0,0,0,0,0,0.34,0,0,0,Olahan,Serealia
AP040,Bubur tinotuan (Manado),156,2.3,0.2,15.6,8.2,41,20,0.4,486,164,0.3,0.4,0,0.1,0.04,0,15,Olahan,Serealia
AP041,Cake tape,323,4.9,11.5,50.1,1.4,131,83,2.6,0,0,0,0,26,0.38,0.16,0.3,0,Olahan,Serealia
AP042,Cangkuning,204,2.8,7.5,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP043,Dodol bali,298,3.7,2.1,65.9,0.4,70,76,2.5,0,0,0,0,0,0.28,0,2.5,0,Olahan,Serealia
AP044,Dodol galamai,348,0.4,3.8,76.1,0.5,41,144,2.6,38,76,0.3,2.1,0,0.03,0.06,1.8,0,Olahan,Serealia
AP045,Dodol kedondong,331,1.9,7.6,63.8,1,90,55,2.3,0,0,0,0,0,0.11,0,0.8,5,Olahan,Serealia
AP046,Dodol manado,373,4.3,16.5,51.9,0.4,41,142,2.4,35,72,0.3,2.1,0,0.04,0.06,2.1,0,Olahan,Serealia
AP047,Emping beras,403,10.6,2.2,85.3,0.2,11,240,0.3,1,113,0.3,2.4,0,0,0.16,0,0,Olahan,Serealia
AP048,Gemblong,274,1.7,5.4,55.5,2.2,69,55,3.3,0,0,0,0,0,0,0,0,0,Olahan,Serealia
AP049,Gendar goreng,407,6.4,28.2,32,0.1,216,62,1.6,0,0,0,0,0,0.16,0,0.6,0,Olahan,Serealia
