kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan,meal_type
FP014,"Sapi, daging, dendeng, mentah",301,55,9,0,0,30,370,5.1,0,0,0,0,0,0.1,0,0,0,Olahan,Daging,Makan Malam
FP018,"Sapi, paru, dendeng, mentah",360,57.3,6,19.2,0,126,903,21.1,1483,864,1.2,6.1,2827,0,0,0,0,Olahan,Daging,Makan Malam
FR001,"Anak sapi, daging, gemuk, segar",184,18.8,14,0,0,10,200,2.2,118,490.1,0.17,5.8,12,0.13,0.17,7,0,Tunggal,Daging,Makan Malam
FR002,"Anak sapi, daging, kurus, segar",174,19.6,10,0,0,11,201,2.9,96,399.8,0.14,4.8,6,0.08,0.14,5.7,0,Tunggal,Daging,Makan Malam
FR003,"Anak sapi, daging, sedang, segar",190,19.1,12,0,0,11,193,2.9,99,412.7,0.14,4.9,12,0.14,0.15,5.9,0,Tunggal,Daging,Makan Malam
FR004,"Angsa, daging, segar",349,16.4,31.5,0,0,15,188,1.8,71,299.2,0.26,1.7,273,0.1,0.24,7.1,0,Tunggal,Daging,Makan Malam
FR005,"Ayam, daging, segar",298,18.2,25,0,0,14,200,1.5,109,385.9,0.11,2,245,0.08,0.14,10.4,0,Tunggal,Daging,Makan Malam
FR006,"Ayam, dideh/darah, segar",75,13.8,1.9,0.7,0,15,9,1.3,337,234,0,0,15,0.02,0,0.6,0,Tunggal,Daging,Makan Malam
FR007,"Ayam, hati, segar",261,27.4,16.1,1.6,0,118,373,15.8,1068,22.9,0.84,0,4957,0.64,4.38,4.1,0,Tunggal,Daging,Makan Malam
FR008,"Babi, daging, gemuk,segar",453,11.9,45,0,0,7,117,1.8,112,819.3,0.22,0.4,0,0.58,0.59,5.9,0,Tunggal,Daging,Makan Malam
FR009,"Babi, daging, kurus, segar",371,14.1,35,0,0,8,151,2.1,97,706.3,0.19,0.4,0,0.67,0.33,5.4,0,Tunggal,Daging,Makan Malam
FR011,"Babi, hati, segar",129,19.7,4.8,1.7,0,10,362,18,110,447,0.58,0.1,4303,0.4,1.16,5.7,23,Tunggal,Daging,Makan Malam
FR012,"Bebek (itik), daging, segar",321,16,28.6,0,0,15,188,1.8,54,199,0.21,1.2,273,0.1,0.28,4.3,0,Tunggal,Daging,Makan Malam
FR013,"Bebek alabio, daging, segar",303,11.3,27,3.7,0,20,293,4.8,50,260,0.7,2,0,0.36,0.04,4.1,0,Tunggal,Daging,Makan Malam
FR014,"Belibis, daging, segar",131,20.2,4.3,2.8,0,8,192,9.6,46,104,1.2,1.6,0,0.37,0.08,2.7,0,Tunggal,Daging,Makan Malam
FR016,"Domba, daging, gemuk, segar",317,15.7,27.7,0,0,9,157,2.4,64,242.1,0.11,3.7,0,0.14,0.23,6.5,0,Tunggal,Daging,Makan Malam
FR017,"Domba, daging, kurus, segar",202,17.1,14.8,0,0,10,191,2.6,90,355,0.08,2.8,0,0.15,0.26,5.7,0,Tunggal,Daging,Makan Malam
FR018,"Domba, ginjal, segar",100,16.6,3.3,1,0,13,237,9.2,167,296.1,0.48,2.4,348,0.51,2.35,8,13,Tunggal,Daging,Makan Malam
FR019,"Kambing, daging, segar",149,16.6,9.2,0,0,11,124,1,96,268.7,0.31,4.9,0,0.09,0.23,5,0,Tunggal,Daging,Makan Malam
FR020,"Kelinci, daging, segar",142,16.9,7.8,0,0,7,350,1,49,371.1,0,0,0,0.11,0.11,6.8,0,Tunggal,Daging,Makan Malam
FR021,"Kerbau, daging, segar",79,18.7,0.5,0,0,14,221,3.3,91,273,0.13,1.6,0,0.06,0.17,5,0,Tunggal,Daging,Makan Malam
FR022,"Kuda, daging, segar",113,18.1,4.1,0.9,0,10,150,2.7,46,315.7,0.13,2.5,0,0.07,0.07,3,0,Tunggal,Daging,Makan Malam
FR023,"Sapi, babat, segar",108,17.6,4.2,0,0,12,144,1,147,101.4,0.11,2.2,0,0.15,0.17,1.7,0,Tunggal,Daging,Makan Malam
FR024,"Sapi, daging, gemuk, segar",273,17.5,22,0,0,10,150,2.6,93,267,0.17,6.4,12,0.08,0.18,7.3,0,Tunggal,Daging,Makan Malam
FR025,"Sapi, daging, kurus, segar",174,19.6,10,0,0,11,181,2.9,83,489,0.07,4.9,6,0.07,0.51,1.2,0,Tunggal,Daging,Makan Malam
FR026,"Sapi, daging, lemak sedang, segar",201,18.8,14,0,0,11,170,2.8,105,378,4.58,5.2,9,0.08,0.56,1.3,0,Tunggal,Daging,Makan Malam
FR027,"Sapi, daleman, segar",183,12,14.4,1.4,0,43,319,1.8,277,160,0.1,0.8,0,0.31,0.22,8.5,0,Tunggal,Daging,Makan Malam
FR029,"Sapi, ginjal, segar",137,15,8.1,0.9,0,9,221,7.9,200,230.2,0,0,348,0.37,1.22,6.1,13,Tunggal,Daging,Makan Malam
